Dist: 111.392598211, Mag: 38.4642216504, Danger: 0
Dist: 3.51781496184, Mag: 33.3474418313, Danger: 0
Dist: 127.144688904, Mag: 40.8763999336, Danger: 0
Dist: 75.2120548598, Mag: 40.9840804607, Danger: 0
Dist: 7.0178547962, Mag: 42.4111877958, Danger: 0
Dist: 23.7140948625, Mag: 37.1775684472, Danger: 0
Dist: 3.41175398638, Mag: 41.3376645785, Danger: 1
Dist: 28.9936083748, Mag: 40.137668847, Danger: 0
Dist: 115.787668847, Mag: 52.7345662194, Danger: 0
Dist: 8.6828851651, Mag: 41.2393727354, Danger: 0
Dist: 31.116660015, Mag: 28.0191053972, Danger: 0
Dist: 3.53828988455, Mag: 43.1138094219, Danger: 1
Dist: 89.3192682743, Mag: 36.3660951808, Danger: 0
Dist: 29.50136555, Mag: 34.4233711579, Danger: 0
Dist: 49.8690852757, Mag: 34.419467642, Danger: 0
Dist: 1.73085792724, Mag: 34.273901198, Danger: 1
Dist: 38.3548636137, Mag: 39.5343118455, Danger: 0
Dist: 95.5005588473, Mag: 37.5659728042, Danger: 0
Dist: 9.04656865587, Mag: 38.0351622681, Danger: 0
Dist: 1.67916728248, Mag: 43.5039517105, Danger: 1
Dist: 111.411280004, Mag: 40.7432585549, Danger: 0
Dist: 3.5175700937, Mag: 36.3353516014, Danger: 1
Dist: 127.145180944, Mag: 40.7810827292, Danger: 0
Dist: 75.2111245908, Mag: 42.5954123394, Danger: 0
Dist: 7.01846300855, Mag: 46.2709510752, Danger: 0
Dist: 23.7130035938, Mag: 40.8061146067, Danger: 0
Dist: 3.41172005198, Mag: 44.9945465543, Danger: 1
Dist: 28.9893359566, Mag: 40.9476375671, Danger: 0
Dist: 115.784562409, Mag: 56.8433189565, Danger: 0
Dist: 8.68263584159, Mag: 43.5736303418, Danger: 0
Dist: 31.1068098519, Mag: 28.4470675947, Danger: 0
Dist: 3.53816160563, Mag: 44.8515485134, Danger: 1
Dist: 89.3196321799, Mag: 38.3236848549, Danger: 0
Dist: 29.5040914361, Mag: 35.3397729481, Danger: 0
Dist: 49.8705819161, Mag: 35.1771424445, Danger: 0
Dist: 1.73075069569, Mag: 34.9762968056, Danger: 1
Dist: 38.353720755, Mag: 42.4550895583, Danger: 0
Dist: 95.5005384602, Mag: 40.9727791697, Danger: 0
Dist: 9.04872749811, Mag: 40.919668812, Danger: 0
Dist: 1.67914309784, Mag: 45.541819261, Danger: 1
Dist: 111.412582289, Mag: 43.175328117, Danger: 0
Dist: 3.51805671768, Mag: 39.5047454511, Danger: 1
